Vocabulary Size:  27710
Total number of model parameters: 25.09M
| epoch   5 |  5000/15983 batches | lr 5.00 | ms/batch  7.70 | loss  6.62 | ppl   747.19
| epoch   5 |  5500/15983 batches | lr 5.00 | ms/batch  7.65 | loss  6.59 | ppl   724.69
| epoch   5 |  6000/15983 batches | lr 5.00 | ms/batch  7.79 | loss  6.59 | ppl   730.30
| epoch   5 |  6500/15983 batches | lr 5.00 | ms/batch  7.66 | loss  6.55 | ppl   699.59
| epoch   5 |  7000/15983 batches | lr 5.00 | ms/batch  7.70 | loss  6.57 | ppl   714.47
| epoch   5 |  7500/15983 batches | lr 5.00 | ms/batch  7.64 | loss  6.55 | ppl   700.61
| epoch   5 |  8000/15983 batches | lr 5.00 | ms/batch  7.64 | loss  6.60 | ppl   735.17
| epoch   5 |  8500/15983 batches | lr 5.00 | ms/batch  7.71 | loss  6.55 | ppl   697.00
| epoch   5 |  9000/15983 batches | lr 5.00 | ms/batch  7.84 | loss  6.51 | ppl   674.70
| epoch   5 |  9500/15983 batches | lr 5.00 | ms/batch  7.64 | loss  6.54 | ppl   690.86
| epoch   5 | 10000/15983 batches | lr 5.00 | ms/batch  7.78 | loss  6.55 | ppl   701.72
| epoch   5 | 10500/15983 batches | lr 5.00 | ms/batch  7.79 | loss  6.56 | ppl   708.35
| epoch   5 | 11000/15983 batches | lr 5.00 | ms/batch  7.69 | loss  6.54 | ppl   694.81
| epoch   5 | 11500/15983 batches | lr 5.00 | ms/batch  7.69 | loss  6.54 | ppl   694.86
| epoch   5 | 12000/15983 batches | lr 5.00 | ms/batch  7.71 | loss  6.52 | ppl   675.52
| epoch   5 | 12500/15983 batches | lr 5.00 | ms/batch  7.72 | loss  6.49 | ppl   660.02
| epoch   5 | 13000/15983 batches | lr 5.00 | ms/batch  7.72 | loss  6.53 | ppl   682.43
| epoch   5 | 13500/15983 batches | lr 5.00 | ms/batch  7.74 | loss  6.55 | ppl   698.80
| epoch   5 | 14000/15983 batches | lr 5.00 | ms/batch  7.74 | loss  6.57 | ppl   714.56
