We are using cuda:1
In train stage: data size: torch.Size([40, 1, 28, 28])
In test stage: data size: torch.Size([40, 1, 28, 28])
Train batch num: 1500, test batch num: 250
   Iter[100] loss:6414.94970703125, rec loss:5776.8916015625, kl loss:638.0580444335938
   Iter[200] loss:6101.55810546875, rec loss:5500.505859375, kl loss:601.0521850585938
   Iter[300] loss:6332.658203125, rec loss:5712.9521484375, kl loss:619.706298828125
   Iter[400] loss:6538.74560546875, rec loss:5949.55859375, kl loss:589.1871337890625
   Iter[500] loss:6213.423828125, rec loss:5571.5849609375, kl loss:641.8388671875
   Iter[600] loss:6187.171875, rec loss:5568.3935546875, kl loss:618.778564453125
   Iter[700] loss:6011.24755859375, rec loss:5333.02099609375, kl loss:678.2263793945312
   Iter[800] loss:6119.03369140625, rec loss:5495.568359375, kl loss:623.4652709960938
   Iter[900] loss:6051.91015625, rec loss:5420.4072265625, kl loss:631.502685546875
   Iter[1000] loss:6094.3095703125, rec loss:5427.78564453125, kl loss:666.524169921875
   Iter[1100] loss:6231.0966796875, rec loss:5613.8828125, kl loss:617.2138671875
   Iter[1200] loss:6178.98681640625, rec loss:5528.0029296875, kl loss:650.9838256835938
   Iter[1300] loss:6354.00830078125, rec loss:5688.56640625, kl loss:665.4419555664062
   Iter[1400] loss:5980.2041015625, rec loss:5327.2607421875, kl loss:652.9434204101562
   Iter[1500] loss:6406.17578125, rec loss:5769.03564453125, kl loss:637.1400146484375
>> Epoch[14]: loss: 6290.306419921875
   Iter[100] loss:6362.75830078125, rec loss:5707.81201171875, kl loss:654.9461669921875
   Iter[200] loss:6391.08203125, rec loss:5708.6669921875, kl loss:682.415283203125
   Iter[300] loss:6202.17578125, rec loss:5583.49853515625, kl loss:618.6773071289062
   Iter[400] loss:6091.029296875, rec loss:5472.73046875, kl loss:618.2989501953125
   Iter[500] loss:6396.72802734375, rec loss:5813.4130859375, kl loss:583.3148193359375
   Iter[600] loss:6189.6474609375, rec loss:5581.9853515625, kl loss:607.6621704101562
   Iter[700] loss:6236.283203125, rec loss:5536.25, kl loss:700.0330200195312
   Iter[800] loss:6268.62646484375, rec loss:5691.93359375, kl loss:576.6927490234375
   Iter[900] loss:6296.67431640625, rec loss:5649.5361328125, kl loss:647.1382446289062
   Iter[1000] loss:6345.2041015625, rec loss:5726.04931640625, kl loss:619.1549072265625
